         88129 function calls (86995 primitive calls) in 0.202 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       54    0.000    0.000    0.000    0.000 fromnumeric.py:2177(sum)
       25    0.000    0.000    0.001    0.000 frame.py:3983(_ixs)
       14    0.000    0.000    0.000    0.000 managers.py:317(apply)
        3    0.000    0.000    0.000    0.000 range.py:938(_concat)
       41    0.000    0.000    0.000    0.000 construction.py:769(_try_cast)
       56    0.000    0.000    0.000    0.000 config.py:635(_get_root)
       47    0.000    0.000    0.000    0.000 range.py:201(_simple_new)
      114    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        4    0.000    0.000    0.000    0.000 core.py:1957(_set_feature_info)
      108    0.000    0.000    0.000    0.000 multiclass.py:113(<genexpr>)
       69    0.000    0.000    0.000    0.000 _internal.py:250(__init__)
        7    0.000    0.000    0.000    0.000 basic.py:702(_c_float_array)
        9    0.000    0.000    0.000    0.000 ufunclike.py:71(isposinf)
       75    0.000    0.000    0.000    0.000 managers.py:1993(dtype)
       27    0.000    0.000    0.000    0.000 {method 'searchsorted' of 'numpy.ndarray' objects}
       43    0.000    0.000    0.000    0.000 common.py:1198(is_bool_dtype)
       45    0.000    0.000    0.000    0.000 basic.py:4905(__get_eval_info)
       96    0.000    0.000    0.001    0.000 _array_api.py:327(isdtype)
       14    0.000    0.000    0.000    0.000 managers.py:557(copy)
       50    0.000    0.000    0.000    0.000 base.py:5373(__getitem__)
      144    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
        4    0.000    0.000    0.000    0.000 core.py:2003(set_param)
        2    0.000    0.000    0.003    0.001 basic.py:2001(_lazy_init)
       54    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        3    0.000    0.000    0.000    0.000 managers.py:1707(_interleave)
      177    0.000    0.000    0.000    0.000 range.py:999(__len__)
       56    0.000    0.000    0.000    0.000 blocks.py:2674(get_block_type)
        1    0.000    0.000    0.004    0.004 utils.py:144(fill_params)
       17    0.000    0.000    0.000    0.000 base.py:5437(_can_hold_identifiers_and_holds_name)
       99    0.000    0.000    0.000    0.000 enum.py:713(__call__)
      116    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
       41    0.000    0.000    0.000    0.000 generic.py:511(_validate_dtype)
       24    0.000    0.000    0.000    0.000 _config.py:57(set_config)
       84    0.000    0.000    0.000    0.000 validation.py:301(_use_interchange_protocol)
       84    0.000    0.000    0.000    0.000 collective.py:84(get_world_size)
        6    0.000    0.000    0.000    0.000 base.py:842(_engine)
       25    0.000    0.000    0.000    0.000 frame.py:4608(_box_col_values)
       69    0.000    0.000    0.000    0.000 fromnumeric.py:200(reshape)
